DE_welfare_delta,NO_welfare_delta,DE_comp_no_comp,DE_comp_lump_sum,DE_comp_PPA_DE,DE_comp_PPA_NO,DE_comp_flow,DE_comp_flow_value_NO,DE_comp_flow_value_DE,DE_comp_flow_value_avg,DE_comp_uncon_flow_value,DE_comp_con_flow_value
711098.040348053,1.0955195269717693e7,0.0,6.769177100535393e6,-1.3346690852429236e6,-2.407834517610185e6,7.495063968275993e6,6.2028310079652555e6,6.692052790240786e6,6.4911274227168e6,4.348844888873672e6,7.657041413497381e6
-9.343670573640823e6,-1.4219755143194199e6,0.0,6.769177100535393e6,5.814078188891571e6,1.2811568817071816e7,6.031248557567789e6,6.916015106803967e6,6.011498217152293e6,6.382986967385948e6,7.913068871334759e6,5.5495558368496075e6
-1.5166927141202927e7,1.4128462855462074e7,0.0,6.769177100535393e6,1.5570412956156546e7,2.2198349211004723e7,5.828612027916315e6,7.964705210105313e6,6.714570300058337e6,7.228005771159055e6,1.0833109149610354e7,5.264813221758706e6
-8.045933182342529e6,2.1515625338968277e7,0.0,6.769177100535393e6,3.7394850124325044e6,1.3869734822639428e7,8.481951089441834e6,9.185005021882588e6,8.050652289329873e6,8.516535551169708e6,6.4483178553535035e6,9.654910563945828e6
-1.4550431448915482e7,-5.436510642484188e6,0.0,6.769177100535393e6,5.163650676340837e6,1.17729802987367e7,3.1899226188340397e6,4.309929054326232e6,3.3694213288146337e6,3.7556916611132673e6,2.5115096811237424e6,4.4328250863869395e6
-1.3090478756362915e7,-6.453425620152473e6,0.0,6.769177100535393e6,3.4671369101381134e6,1.8459804081106633e7,6.917631502511832e6,8.423773957764916e6,6.603829747619334e6,7.351288206225308e6,9.25047145329633e6,6.316844993260581e6
-1.5774658505268097e7,1.913335584561014e7,0.0,6.769177100535393e6,9.311458357967466e6,2.283367358293402e7,7.4832101682746215e6,9.486297931795362e6,7.649478358224073e6,8.40386759694091e6,9.722940890183268e6,7.685187761963805e6
-4.884082438110352e6,-2.9806110198316574e6,0.0,6.769177100535393e6,1.0429265893514995e7,5.940728897249097e6,6.917250445195392e6,6.789823779910647e6,7.236647152359613e6,7.053134983481876e6,6.382702465182174e6,7.417691277524714e6
1.6699867789691925e7,-7.102018777069092e6,0.0,6.769177100535393e6,-7.952749935251846e6,-3.3601428456390224e7,9.702230497809075e6,4.051519700114459e6,8.096616086839961e6,6.4352786165590165e6,4.93114675473084e6,7.253766636667829e6
-1.2413185238046646e7,-1.8496540023915768e7,0.0,6.769177100535393e6,7.117878829666164e6,1.2236529072211638e7,2.504680560891105e6,3.7745931454745564e6,2.924223230399413e6,3.273473598857755e6,6.923856617401931e6,1.2858808324004395e6
-1.6807755481380463e7,3.596015860696316e7,0.0,6.769177100535393e6,2.4965156570651516e7,2.624370327006629e7,6.71563407594899e6,9.26385919406284e6,8.375318515809945e6,8.740245771312011e6,8.875616656426327e6,8.66598978501088e6
-8.819744373580933e6,-4.744435307174683e6,0.0,6.769177100535393e6,-3.1267989474571585e6,1.0660927628272733e7,6.195103738240643e6,6.777850782842531e6,5.347332688787627e6,5.934852264184213e6,7.791654057001398e6,4.923572930504082e6
-1.2215788736204147e7,1.2987150236067295e7,0.0,6.769177100535393e6,5.638699864780579e6,2.187293204954879e7,6.822214009024875e6,8.786187885564936e6,6.714580507374197e6,7.565398048432419e6,7.918256846847567e6,7.372809430734838e6
-1.3096059508947372e7,1.0742938890452862e7,0.0,6.769177100535393e6,5.722346721258971e6,1.5558216323106637e7,5.225017561144425e6,6.573400566855373e6,5.270246660632953e6,5.805457248211026e6,2.4114849154791194e6,7.652874575084253e6
-1.7865426699775696e7,5.444143102411747e6,0.0,6.769177100535393e6,8.217080724082511e6,1.8860245561696976e7,4.902354466570287e6,6.723724942624037e6,5.203808907013249e6,5.828044579104148e6,7.892080364703166e6,4.70394726040373e6
-1.1873569625364304e7,1.9398649445862293e7,0.0,6.769177100535393e6,3.1415293512731544e6,1.680484789307558e7,7.352466837134017e6,8.585911608007237e6,6.969507369315673e6,7.633371137227488e6,9.023490217010811e6,6.876060710477064e6
-9.634696787454605e6,-4.662294214873314e6,0.0,6.769177100535393e6,1.073635171221227e7,5.588263993057455e6,5.646307963405196e6,5.638733783811464e6,6.109216864750937e6,5.915987557764931e6,6.537827306288486e6,5.577062038016357e6
9.161146664196014e6,1.427757032976532e7,0.0,6.769177100535393e6,-6.087889523463395e6,-2.046580034953442e7,8.185315874171903e6,4.446620906558713e6,6.887253587212272e6,5.884875859732591e6,1.4525066765434435e6,8.29762440773813e6
1.1575739360998154e7,-1.0400140408689499e7,0.0,6.769177100535393e6,-3.785050555274749e6,-2.834121125181454e7,6.948415854596453e6,2.343459096837853e6,5.97227156416893e6,4.4819035856991345e6,1.1357152441651728e6,6.303389949581391e6
