DE_welfare_delta,NO_welfare_delta,DE_comp_no_comp,DE_comp_lump_sum,DE_comp_PPA_DE,DE_comp_PPA_NO,DE_comp_flow,DE_comp_flow_value_NO,DE_comp_flow_value_DE,DE_comp_flow_value_avg,DE_comp_uncon_flow_value,DE_comp_con_flow_value
-1.3090478756362915e7,-6.453425620152473e6,0.0,6.530149743406296e6,3.2228674589063334e6,1.8215534629874855e7,6.67336205128007e6,8.126320900137246e6,6.370640993940676e6,7.091705842618753e6,8.92382676505133e6,6.093789998287289e6
-1.5774658505268097e7,1.913335584561014e7,0.0,6.530149743406296e6,9.047217679551361e6,2.2569432904517926e7,7.218969489858512e6,9.15132594186221e6,7.37936656055255e6,8.107117455597916e6,9.37961276772668e6,7.413815024554144e6
-4.884082438110352e6,-2.9806110198316574e6,0.0,6.530149743406296e6,1.0185009897851324e7,5.696472901585398e6,6.672994449531701e6,6.550067365005212e6,6.981112895002465e6,6.804080749926203e6,6.157321967828484e6,7.155764145802005e6
1.6699867789691925e7,-7.102018777069092e6,0.0,6.530149743406296e6,-8.295346750153494e6,-3.3944025271291874e7,9.359633682907423e6,3.9084559226579294e6,7.8107153464422515e6,6.208041595387885e6,4.757022343610645e6,6.997627870811519e6
-1.2413185238046646e7,-1.8496540023915768e7,0.0,6.530149743406296e6,7.029435704891796e6,1.2148085947437251e7,2.41623743611674e6,3.641307960229657e6,2.820965575881466e6,3.157883515846785e6,6.679367350269668e6,1.2404749149031222e6
-1.6807755481380463e7,3.596015860696316e7,0.0,6.530149743406296e6,2.472801987873473e7,2.600656657814948e7,6.47849738403215e6,8.936741769435585e6,8.07957647505434e6,8.43161773331752e6,8.562208518218689e6,8.359983810509922e6
-8.819744373580933e6,-4.744435307174683e6,0.0,6.530149743406296e6,-3.3455551199873677e6,1.0442171455742536e7,5.976347565710436e6,6.538517148107211e6,5.158512278077758e6,5.725285867768409e6,7.516521873391967e6,4.749715959747965e6
-1.2215788736204147e7,1.2987150236067295e7,0.0,6.530149743406296e6,5.397799713975333e6,2.1632031898743547e7,6.58131385821964e6,8.475937579163563e6,6.47748101816431e6,7.298255222312032e6,7.638654174460452e6,7.112467128166681e6
-1.3096059508947372e7,1.0742938890452862e7,0.0,6.530149743406296e6,5.53784539708846e6,1.5373714998936128e7,5.040516236973914e6,6.341286302224584e6,5.084148245419395e6,5.600459937259288e6,2.3263326351438817e6,7.382642853125293e6
-1.7865426699775696e7,5.444143102411747e6,0.0,6.530149743406296e6,8.0439730014670575e6,1.8687137839081492e7,4.72924674395484e6,6.486302552985081e6,5.020056484588098e6,5.622249683759536e6,7.613402013729569e6,4.537845522329832e6
